#       Timestep            Time
               0               0
               1         0.03125
               2          0.0625
               3         0.09375
               4           0.125
               5         0.15625
               6          0.1875
               7         0.21875
               8            0.25
               9         0.28125
              10          0.3125
              11         0.34375
              12           0.375
              13         0.40625
              14          0.4375
              15         0.46875
              16             0.5
              17         0.53125
              18          0.5625
              19         0.59375
              20           0.625
